Rank,Title,Artist
1,Supernova,aespa
2,해야 (HEYA),IVE (아이브)
3,SPOT! (feat. JENNIE),지코 (ZICO)
4,Magnetic,아일릿(ILLIT)
5,소나기,이클립스 (ECLIPSE)
6,고민중독,QWER
7,나는 아픈 건 딱 질색이니까,(여자)아이들
8,첫 만남은 계획대로 되지 않아,TWS (투어스)
9,SHEESH,BABYMONSTER
10,미안해 미워해 사랑해,Crush
11,밤양갱,비비(BIBI)
12,한 페이지가 될 수 있게,DAY6 (데이식스)
13,Welcome to the Show,DAY6 (데이식스)
14,Lucky Girl Syndrome,아일릿(ILLIT)
15,Run Run,이클립스 (ECLIPSE)
16,Accendio,IVE (아이브)
17,Midas Touch,KISS OF LIFE
18,ETA,NewJeans
19,Attention,NewJeans
20,Love wins all,아이유(IU)
21,Hype Boy,NewJeans
22,예뻤어,DAY6 (데이식스)
23,MAESTRO,세븐틴(SEVENTEEN)
24,에피소드,이무진
25,Ditto,NewJeans
26,천상연,이창섭
27,To. X,태연 (TAEYEON)
28,I AM,IVE (아이브)
29,Girls Never Die,tripleS (트리플에스)
30,200,마크 (MARK)
31,Super Shy,NewJeans
32,그랬나봐,유회승 (엔플라잉)
33,Impossible,RIIZE
34,비의 랩소디,임재현
35,Drama,aespa
36,You & I,이클립스 (ECLIPSE)
37,OMG,NewJeans
38,반딧불 (Little Light),도영 (DOYOUNG)
39,Star,엔플라잉(N.Flying)
40,Smart,LE SSERAFIM (르세라핌)
41,EASY,LE SSERAFIM (르세라핌)
42,Siren,RIIZE
43,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection)
44,New Jeans,NewJeans
45,MANIAC,VIVIZ (비비지)
46,HAPPY,DAY6 (데이식스)
47,Get A Guitar,RIIZE
48,Love me or Leave me,DAY6 (데이식스)
49,Love 119,RIIZE
50,만날테니까,이클립스 (ECLIPSE)
51,봄눈,10CM
52,Spicy,aespa
53,멈춰줘,헤이즈(Heize)
54,헤어지자 말해요,박재정
55,홀씨,아이유(IU)
56,I'll Be There,이클립스 (ECLIPSE)
57,꿈,태연 (TAEYEON)
58,Steal The Show (From “엘리멘탈”),Lauv(라우브)
59,Perfect Night,LE SSERAFIM (르세라핌)
60,Discord,QWER
61,LOVE DIVE,IVE (아이브)
62,Dangerously,Charlie Puth(찰리 푸스)
63,Kitsch,IVE (아이브)
64,After LIKE,IVE (아이브)
65,내 입술 따뜻한 커피처럼,조이 (JOY)조이 (JOY)
66,You & Me,제니 (JENNIE)
67,인사,범진
68,Mars,도경수(D.O.)
69,Seven (feat. Latto) - Clean Ver.,정국
70,Obsessed,Ayumu Imazu
71,By Your Side,Crush
72,Love Lee,AKMU(악뮤)
73,너의 모든 순간,성시경
74,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
75,사건의 지평선,윤하(Younha/ユンナ)
76,Wife,(여자)아이들
77,"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",그루비룸 (GroovyRoom)
78,자꾸만 웃게 돼,부석순(SEVENTEEN)
79,그랬나봐,김형중
80,Popcorn,도경수(D.O.)
81,G.T.H.O.,PITTA (강형호)
82,Super Lady,(여자)아이들
83,후라이의 꿈,AKMU(악뮤)
84,사랑인가 봐,멜로망스(MeloMance)
85,DASH,NMIXX
86,꿈결같아서,민니 ((여자)아이들)
87,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
88,좋아해요,폴킴(Paul Kim)
89,숲,최유리
90,Shopper,아이유(IU)
91,Baddie,IVE (아이브)
92,Wish You Hell,웬디(WENDY)
93,주저하는 연인들을 위해,잔나비
94,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
95,퀸카 (Queencard),(여자)아이들
96,청춘찬가,세븐틴(SEVENTEEN)
97,혹시 세상에 혼자 남겨진 것 같다면,우디(Woody)
98,사랑은 늘 도망가,임영웅
99,Feel the POP,ZEROBASEONE (제로베이스원)
100,관객이 될게 (I stan U),아이유(IU)
